700;200;300;15;12;2022;7;15
701;201;301;17;12;2022;8;30
702;202;302;16;12;2022;6;45
703;203;303;18;12;2022;14;15
704;203;300;23;12;2022;12;30
705;202;301;25;12;2022;17;15
706;201;302;27;12;2022;20;15
707;200;303;29;12;2022;20;0
708;200;300;31;12;2022;14;0
709;201;301;1;1;2023;16;0
710;202;302;3;1;2023;9;0
711;203;300;5;1;2023;11;30
712;200;301;7;1;2023;13;45
713;202;302;9;1;2023;18;15
714;201;303;11;1;2023;20;30
715;200;300;13;1;2023;15;0
716;203;301;15;1;2023;10;15
717;202;302;17;1;2023;14;30
718;201;303;19;1;2023;19;45
719;200;300;21;1;2023;22;0
