800;15;11;2022;18;11;2022;200
801;20;11;2022;25;11;2022;201
802;1;12;2022;5;12;2022;202
803;10;12;2022;15;12;2022;203
804;20;12;2022;25;12;2022;204
805;1;1;2023;5;1;2023;205
806;15;1;2023;20;1;2023;206
807;1;2;2023;10;2;2023;207
808;15;2;2023;20;2;2023;208
809;1;3;2023;5;3;2023;209
810;15;3;2023;20;3;2023;210
811;1;4;2023;5;4;2023;211
812;10;4;2023;15;4;2023;212
813;20;4;2023;25;4;2023;213
814;1;5;2023;5;5;2023;214
815;15;5;2023;20;5;2023;215
816;1;6;2023;10;6;2023;216
817;15;6;2023;20;6;2023;217
818;1;7;2023;5;7;2023;218
819;15;7;2023;20;7;2023;219
